QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1
MonitoringTutorialDataset_3802	True	1	0.0	1.0
MonitoringTutorialDataset_2478	True	1	0.08136	0.91864
MonitoringTutorialDataset_0305	True	1	0.00016	0.99984
MonitoringTutorialDataset_1398	False	1	0.01073	0.98927
MonitoringTutorialDataset_1769	False	1	0.02188	0.97812
MonitoringTutorialDataset_0308	True	1	0.0	1.0
MonitoringTutorialDataset_2113	False	1	0.0002	0.9998
MonitoringTutorialDataset_2672	False	1	0.0335	0.9665
MonitoringTutorialDataset_4012	True	1	0.0	1.0
MonitoringTutorialDataset_3704	False	1	0.0014	0.9986
MonitoringTutorialDataset_0802	False	1	0.00082	0.99918
MonitoringTutorialDataset_2721	True	1	0.0	1.0
MonitoringTutorialDataset_3276	False	1	3e-05	0.99997
MonitoringTutorialDataset_2341	True	1	0.03012	0.96988
MonitoringTutorialDataset_1882	False	1	0.00931	0.99069
MonitoringTutorialDataset_0196	False	1	5e-05	0.99995
MonitoringTutorialDataset_0366	True	1	0.00069	0.99931
MonitoringTutorialDataset_3838	True	1	0.0	1.0
MonitoringTutorialDataset_4035	False	1	0.0126	0.9874
MonitoringTutorialDataset_2528	True	1	0.0	1.0
MonitoringTutorialDataset_1204	True	1	0.00034	0.99966
MonitoringTutorialDataset_1783	True	1	0.0	1.0
MonitoringTutorialDataset_1110	False	0	1.0	0.0
MonitoringTutorialDataset_2232	False	0	0.99249	0.00751
MonitoringTutorialDataset_1220	True	1	1e-05	0.99999
MonitoringTutorialDataset_0314	False	0	0.99989	0.00011
MonitoringTutorialDataset_2629	False	1	3e-05	0.99997
MonitoringTutorialDataset_0184	False	0	0.94865	0.05135
MonitoringTutorialDataset_1641	False	0	0.58567	0.41433
MonitoringTutorialDataset_1618	False	1	0.0003	0.9997
MonitoringTutorialDataset_0461	False	0	0.99317	0.00683
MonitoringTutorialDataset_2430	False	0	0.99744	0.00256
MonitoringTutorialDataset_2948	True	1	4e-05	0.99996
MonitoringTutorialDataset_3579	False	1	0.0	1.0
MonitoringTutorialDataset_0315	False	0	0.98902	0.01098
MonitoringTutorialDataset_4081	True	1	0.00128	0.99872
MonitoringTutorialDataset_1047	True	1	0.00575	0.99425
MonitoringTutorialDataset_3642	True	1	3e-05	0.99997
MonitoringTutorialDataset_3869	True	0	0.98743	0.01257
MonitoringTutorialDataset_1104	True	1	0.0019	0.9981
MonitoringTutorialDataset_1566	True	1	2e-05	0.99998
MonitoringTutorialDataset_2823	False	1	1e-05	0.99999
MonitoringTutorialDataset_0869	True	1	3e-05	0.99997
MonitoringTutorialDataset_2550	True	1	0.0	1.0
MonitoringTutorialDataset_1289	True	1	0.00467	0.99533
MonitoringTutorialDataset_3937	True	1	0.35496	0.64504
MonitoringTutorialDataset_0414	False	0	0.53039	0.46961
MonitoringTutorialDataset_4026	True	1	1e-05	0.99999
MonitoringTutorialDataset_3590	False	0	0.99876	0.00124
MonitoringTutorialDataset_0999	True	1	0.0	1.0
MonitoringTutorialDataset_0978	False	1	0.00072	0.99928
MonitoringTutorialDataset_2592	True	1	0.00104	0.99896
MonitoringTutorialDataset_3362	False	0	0.92537	0.07463
MonitoringTutorialDataset_0070	True	1	0.02426	0.97574
MonitoringTutorialDataset_2281	True	1	0.0	1.0
MonitoringTutorialDataset_3703	True	1	0.00037	0.99963
MonitoringTutorialDataset_0211	True	1	7e-05	0.99993
MonitoringTutorialDataset_2096	False	1	0.00047	0.99953
MonitoringTutorialDataset_3942	False	1	0.02791	0.97209
MonitoringTutorialDataset_3486	True	1	0.0	1.0
MonitoringTutorialDataset_1730	False	1	6e-05	0.99994
MonitoringTutorialDataset_1292	True	1	0.0	1.0
MonitoringTutorialDataset_0014	True	1	0.0	1.0
MonitoringTutorialDataset_3959	True	1	1e-05	0.99999
MonitoringTutorialDataset_2010	False	1	0.44445	0.55555
MonitoringTutorialDataset_1113	True	1	0.00021	0.99979
MonitoringTutorialDataset_4013	True	1	1e-05	0.99999
MonitoringTutorialDataset_0270	True	1	0.00133	0.99867
MonitoringTutorialDataset_0538	False	0	0.99486	0.00514
MonitoringTutorialDataset_3456	True	1	9e-05	0.99991
MonitoringTutorialDataset_0008	True	1	0.0	1.0
MonitoringTutorialDataset_1552	True	1	0.0	1.0
MonitoringTutorialDataset_1803	False	0	0.99764	0.00236
MonitoringTutorialDataset_3737	True	1	0.0	1.0
MonitoringTutorialDataset_3138	False	0	0.9996	0.0004
MonitoringTutorialDataset_0818	True	1	0.13814	0.86186
MonitoringTutorialDataset_2211	True	1	0.0426	0.9574
MonitoringTutorialDataset_2159	True	0	0.54613	0.45387
MonitoringTutorialDataset_2986	False	0	0.75244	0.24756
MonitoringTutorialDataset_3577	False	0	0.99963	0.00037
MonitoringTutorialDataset_2119	True	1	0.0	1.0
MonitoringTutorialDataset_0251	True	1	5e-05	0.99995
MonitoringTutorialDataset_1146	False	0	0.99894	0.00106
MonitoringTutorialDataset_1842	False	0	0.99681	0.00319
MonitoringTutorialDataset_0296	True	1	0.0	1.0
MonitoringTutorialDataset_0755	True	0	0.88671	0.11329
MonitoringTutorialDataset_0544	False	1	0.44516	0.55484
MonitoringTutorialDataset_1729	True	1	0.00884	0.99116
MonitoringTutorialDataset_4069	True	1	0.0	1.0
MonitoringTutorialDataset_2666	False	1	0.13034	0.86966
MonitoringTutorialDataset_1999	True	1	1e-05	0.99999
MonitoringTutorialDataset_1094	False	0	0.99493	0.00507
MonitoringTutorialDataset_3620	False	1	0.10052	0.89948
MonitoringTutorialDataset_2436	True	1	7e-05	0.99993
MonitoringTutorialDataset_0032	True	1	0.0	1.0
MonitoringTutorialDataset_2378	True	1	0.00035	0.99965
MonitoringTutorialDataset_3188	False	0	0.99274	0.00726
MonitoringTutorialDataset_2507	False	0	0.99998	2e-05
MonitoringTutorialDataset_3307	False	1	0.03646	0.96354
MonitoringTutorialDataset_2603	False	0	0.98431	0.01569
MonitoringTutorialDataset_2514	True	1	0.00457	0.99543
MonitoringTutorialDataset_3655	False	1	3e-05	0.99997
MonitoringTutorialDataset_1770	False	1	0.03973	0.96027
MonitoringTutorialDataset_1175	False	0	0.99978	0.00022
MonitoringTutorialDataset_0910	True	1	2e-05	0.99998
MonitoringTutorialDataset_1814	True	1	0.0	1.0
MonitoringTutorialDataset_0568	True	1	0.00092	0.99908
MonitoringTutorialDataset_3122	True	1	0.0	1.0
MonitoringTutorialDataset_1429	True	1	6e-05	0.99994
MonitoringTutorialDataset_3617	True	1	0.0	1.0
MonitoringTutorialDataset_0438	True	1	1e-05	0.99999
MonitoringTutorialDataset_0889	False	0	0.96268	0.03732
MonitoringTutorialDataset_3717	True	1	0.00064	0.99936
MonitoringTutorialDataset_1417	True	1	0.01122	0.98878
MonitoringTutorialDataset_2168	True	1	0.0	1.0
MonitoringTutorialDataset_2957	False	1	0.00015	0.99985
MonitoringTutorialDataset_2414	True	1	3e-05	0.99997
MonitoringTutorialDataset_1502	True	1	0.0	1.0
MonitoringTutorialDataset_0471	True	1	0.0	1.0
MonitoringTutorialDataset_3551	True	1	2e-05	0.99998
MonitoringTutorialDataset_3371	True	1	0.0	1.0
MonitoringTutorialDataset_0811	True	1	1e-05	0.99999
MonitoringTutorialDataset_3271	True	0	0.99679	0.00321
MonitoringTutorialDataset_1590	False	1	0.0	1.0
MonitoringTutorialDataset_0465	False	1	0.00712	0.99288
MonitoringTutorialDataset_3492	False	0	0.97504	0.02496
MonitoringTutorialDataset_4079	False	0	0.98539	0.01461
MonitoringTutorialDataset_1378	True	1	9e-05	0.99991
MonitoringTutorialDataset_0318	True	1	0.0	1.0
MonitoringTutorialDataset_0718	False	0	0.97947	0.02053
MonitoringTutorialDataset_3498	False	1	0.0	1.0
MonitoringTutorialDataset_0043	True	1	0.0	1.0
MonitoringTutorialDataset_2980	False	1	4e-05	0.99996
MonitoringTutorialDataset_1178	True	1	0.0	1.0
MonitoringTutorialDataset_3161	True	1	0.00025	0.99975
MonitoringTutorialDataset_2379	False	0	0.82829	0.17171
MonitoringTutorialDataset_3212	True	1	0.18781	0.81219
MonitoringTutorialDataset_0402	True	1	8e-05	0.99992
MonitoringTutorialDataset_1405	True	1	0.0	1.0
MonitoringTutorialDataset_2415	True	1	6e-05	0.99994
MonitoringTutorialDataset_1859	True	1	1e-05	0.99999
MonitoringTutorialDataset_4007	True	1	0.0	1.0
MonitoringTutorialDataset_2634	True	1	0.00103	0.99897
MonitoringTutorialDataset_1023	True	1	0.0	1.0
MonitoringTutorialDataset_2222	True	1	0.0	1.0
MonitoringTutorialDataset_1826	False	0	0.99534	0.00466
MonitoringTutorialDataset_3631	False	0	0.8855	0.1145
MonitoringTutorialDataset_1860	False	0	0.99918	0.00082
MonitoringTutorialDataset_1580	True	1	0.00016	0.99984
MonitoringTutorialDataset_2384	False	1	0.0007	0.9993
MonitoringTutorialDataset_0017	True	1	5e-05	0.99995
MonitoringTutorialDataset_2218	True	1	0.0	1.0
MonitoringTutorialDataset_0596	True	1	0.0	1.0
MonitoringTutorialDataset_2462	False	1	2e-05	0.99998
MonitoringTutorialDataset_3169	True	1	1e-05	0.99999
MonitoringTutorialDataset_1536	True	1	0.0	1.0
MonitoringTutorialDataset_0746	True	1	0.35326	0.64674
MonitoringTutorialDataset_1896	False	0	0.99997	3e-05
MonitoringTutorialDataset_1074	False	0	0.99695	0.00305
MonitoringTutorialDataset_3749	True	1	0.00026	0.99974
MonitoringTutorialDataset_0680	True	1	0.0	1.0
MonitoringTutorialDataset_2763	False	1	1e-05	0.99999
MonitoringTutorialDataset_2166	False	0	0.99829	0.00171
MonitoringTutorialDataset_0457	False	1	0.0016	0.9984
MonitoringTutorialDataset_2700	False	0	0.99887	0.00113
MonitoringTutorialDataset_2476	True	1	3e-05	0.99997
MonitoringTutorialDataset_3594	False	0	0.99902	0.00098
MonitoringTutorialDataset_3601	True	1	0.0	1.0
MonitoringTutorialDataset_1995	True	1	0.00025	0.99975
MonitoringTutorialDataset_0463	True	0	0.90843	0.09157
MonitoringTutorialDataset_3010	True	1	0.0	1.0
MonitoringTutorialDataset_1424	True	1	1e-05	0.99999
MonitoringTutorialDataset_2927	True	1	0.00485	0.99515
MonitoringTutorialDataset_2208	True	1	0.0	1.0
MonitoringTutorialDataset_1164	True	1	1e-05	0.99999
MonitoringTutorialDataset_1128	False	0	0.64018	0.35982
MonitoringTutorialDataset_2425	True	1	0.01903	0.98097
MonitoringTutorialDataset_0655	False	1	0.00156	0.99844
MonitoringTutorialDataset_1726	False	0	0.99551	0.00449
MonitoringTutorialDataset_1159	True	1	2e-05	0.99998
MonitoringTutorialDataset_0205	True	1	0.0	1.0
MonitoringTutorialDataset_1756	False	0	0.64967	0.35033
MonitoringTutorialDataset_2004	True	1	0.00393	0.99607
MonitoringTutorialDataset_3209	False	0	0.99997	3e-05
MonitoringTutorialDataset_2260	True	1	0.0	1.0
MonitoringTutorialDataset_2953	True	1	1e-05	0.99999
MonitoringTutorialDataset_3192	False	0	0.9984	0.0016
MonitoringTutorialDataset_1550	True	1	0.20728	0.79272
MonitoringTutorialDataset_0490	False	1	0.00284	0.99716
MonitoringTutorialDataset_3729	True	1	0.02233	0.97767
MonitoringTutorialDataset_3609	True	1	0.28205	0.71795
MonitoringTutorialDataset_1588	True	1	0.0	1.0
MonitoringTutorialDataset_1702	False	1	0.03749	0.96251
MonitoringTutorialDataset_1228	True	1	0.00054	0.99946
MonitoringTutorialDataset_1564	True	1	0.0	1.0
MonitoringTutorialDataset_1543	False	0	0.99761	0.00239
MonitoringTutorialDataset_0879	True	1	0.0	1.0
MonitoringTutorialDataset_2287	False	1	2e-05	0.99998
MonitoringTutorialDataset_3818	True	1	0.00035	0.99965
MonitoringTutorialDataset_0093	True	1	0.00041	0.99959
MonitoringTutorialDataset_2412	True	1	0.0	1.0
MonitoringTutorialDataset_0023	False	0	0.99983	0.00017
MonitoringTutorialDataset_1623	False	0	0.81563	0.18437
MonitoringTutorialDataset_3411	False	0	0.99972	0.00028
MonitoringTutorialDataset_3320	False	1	0.00342	0.99658
MonitoringTutorialDataset_1743	False	1	0.44775	0.55225
MonitoringTutorialDataset_3915	True	1	0.00108	0.99892
MonitoringTutorialDataset_0564	True	1	0.01281	0.98719
MonitoringTutorialDataset_2037	True	1	8e-05	0.99992
MonitoringTutorialDataset_3634	True	1	0.00044	0.99956
MonitoringTutorialDataset_3513	True	1	0.0	1.0
MonitoringTutorialDataset_2097	False	0	0.99963	0.00037
MonitoringTutorialDataset_2826	True	1	0.0	1.0
MonitoringTutorialDataset_3269	True	1	0.0	1.0
MonitoringTutorialDataset_1270	False	0	0.95568	0.04432
MonitoringTutorialDataset_4076	False	0	0.99938	0.00062
MonitoringTutorialDataset_2259	True	1	0.00055	0.99945
MonitoringTutorialDataset_1444	True	1	0.0	1.0
MonitoringTutorialDataset_1116	False	0	0.99945	0.00055
MonitoringTutorialDataset_0099	False	0	0.99949	0.00051
MonitoringTutorialDataset_0432	True	1	0.0	1.0
MonitoringTutorialDataset_2377	False	1	8e-05	0.99992
MonitoringTutorialDataset_2417	True	1	0.0	1.0
MonitoringTutorialDataset_1558	False	0	0.99993	7e-05
MonitoringTutorialDataset_1532	True	1	4e-05	0.99996
MonitoringTutorialDataset_0120	True	1	0.0	1.0
MonitoringTutorialDataset_2357	True	1	0.0	1.0
MonitoringTutorialDataset_1659	True	1	0.00037	0.99963
MonitoringTutorialDataset_0156	False	0	0.99999	1e-05
MonitoringTutorialDataset_1936	True	1	0.0	1.0
MonitoringTutorialDataset_2374	True	1	0.00011	0.99989
MonitoringTutorialDataset_1260	True	1	1e-05	0.99999
MonitoringTutorialDataset_3300	True	1	0.0022	0.9978
MonitoringTutorialDataset_3879	True	1	0.0	1.0
MonitoringTutorialDataset_2656	False	0	0.98212	0.01788
MonitoringTutorialDataset_2154	True	1	4e-05	0.99996
MonitoringTutorialDataset_0240	True	1	8e-05	0.99992
MonitoringTutorialDataset_2929	True	1	6e-05	0.99994
MonitoringTutorialDataset_1815	True	1	0.00161	0.99839
MonitoringTutorialDataset_3334	True	1	0.0	1.0
MonitoringTutorialDataset_3178	True	1	0.01228	0.98772
MonitoringTutorialDataset_3250	False	1	0.00302	0.99698
MonitoringTutorialDataset_1627	True	1	3e-05	0.99997
MonitoringTutorialDataset_1912	True	1	0.0	1.0
MonitoringTutorialDataset_1362	True	1	0.22447	0.77553
MonitoringTutorialDataset_2002	False	0	0.99707	0.00293
MonitoringTutorialDataset_3650	True	1	0.0	1.0
MonitoringTutorialDataset_0865	True	1	0.16572	0.83428
MonitoringTutorialDataset_1789	False	0	0.99996	4e-05
MonitoringTutorialDataset_1377	False	0	0.9989	0.0011
MonitoringTutorialDataset_1831	True	1	0.0	1.0
MonitoringTutorialDataset_3089	True	1	0.04744	0.95256
MonitoringTutorialDataset_0594	False	0	0.99971	0.00029
MonitoringTutorialDataset_3032	True	1	0.0	1.0
MonitoringTutorialDataset_0177	True	1	0.04817	0.95183
MonitoringTutorialDataset_2679	False	0	0.99951	0.00049
MonitoringTutorialDataset_3075	True	1	0.00018	0.99982
MonitoringTutorialDataset_2233	False	0	0.99962	0.00038
MonitoringTutorialDataset_0051	True	1	2e-05	0.99998
MonitoringTutorialDataset_1138	True	1	0.00046	0.99954
MonitoringTutorialDataset_1778	False	0	0.99916	0.00084
MonitoringTutorialDataset_0073	False	1	5e-05	0.99995
MonitoringTutorialDataset_3116	False	0	0.99643	0.00357
MonitoringTutorialDataset_2090	False	0	0.98131	0.01869
MonitoringTutorialDataset_2091	True	1	1e-05	0.99999
MonitoringTutorialDataset_3612	True	1	0.0	1.0
MonitoringTutorialDataset_2408	False	1	0.00039	0.99961
MonitoringTutorialDataset_1309	True	1	0.00011	0.99989
MonitoringTutorialDataset_3336	True	1	0.0	1.0
MonitoringTutorialDataset_2697	True	1	0.0	1.0
MonitoringTutorialDataset_2488	False	1	1e-05	0.99999
MonitoringTutorialDataset_1510	True	1	5e-05	0.99995
MonitoringTutorialDataset_1457	False	0	0.99993	7e-05
MonitoringTutorialDataset_0157	False	0	0.99574	0.00426
MonitoringTutorialDataset_2707	True	1	0.0	1.0
MonitoringTutorialDataset_1632	True	1	0.00014	0.99986
MonitoringTutorialDataset_0534	True	1	0.0	1.0
MonitoringTutorialDataset_0052	False	0	0.99976	0.00024
MonitoringTutorialDataset_2014	False	0	0.97877	0.02123
MonitoringTutorialDataset_0220	True	1	0.00172	0.99828
MonitoringTutorialDataset_1052	False	0	0.99925	0.00075
MonitoringTutorialDataset_0026	True	1	9e-05	0.99991
MonitoringTutorialDataset_3390	False	0	0.99701	0.00299
MonitoringTutorialDataset_3555	True	1	0.00089	0.99911
MonitoringTutorialDataset_0214	False	0	0.91855	0.08145
MonitoringTutorialDataset_3396	False	0	0.9992	0.0008
MonitoringTutorialDataset_2834	True	1	0.36145	0.63855
MonitoringTutorialDataset_1779	True	1	0.00175	0.99825
MonitoringTutorialDataset_1242	True	1	0.0	1.0
MonitoringTutorialDataset_2387	True	1	0.0	1.0
MonitoringTutorialDataset_0321	False	1	0.02846	0.97154
MonitoringTutorialDataset_3316	True	1	0.0	1.0
MonitoringTutorialDataset_3339	False	1	0.00068	0.99932
MonitoringTutorialDataset_3811	True	1	1e-05	0.99999
MonitoringTutorialDataset_1614	True	1	0.0	1.0
MonitoringTutorialDataset_3190	True	1	8e-05	0.99992
MonitoringTutorialDataset_2177	True	1	0.0	1.0
MonitoringTutorialDataset_1739	True	1	1e-05	0.99999
MonitoringTutorialDataset_3777	False	1	0.05282	0.94718
MonitoringTutorialDataset_4022	False	1	0.12769	0.87231
MonitoringTutorialDataset_2527	False	1	1e-05	0.99999
MonitoringTutorialDataset_0044	False	0	0.99986	0.00014
MonitoringTutorialDataset_0731	False	0	0.99896	0.00104
MonitoringTutorialDataset_0495	False	1	0.00078	0.99922
MonitoringTutorialDataset_3113	True	1	0.00298	0.99702
MonitoringTutorialDataset_3045	True	1	0.00014	0.99986
MonitoringTutorialDataset_2210	True	1	3e-05	0.99997
MonitoringTutorialDataset_0354	False	0	0.85279	0.14721
MonitoringTutorialDataset_0576	False	0	0.99898	0.00102
MonitoringTutorialDataset_3214	True	1	0.01145	0.98855
MonitoringTutorialDataset_2951	False	0	0.99963	0.00037
MonitoringTutorialDataset_0598	True	1	6e-05	0.99994
MonitoringTutorialDataset_1261	False	1	0.01415	0.98585
MonitoringTutorialDataset_3290	True	1	0.00026	0.99974
MonitoringTutorialDataset_1675	False	1	0.00064	0.99936
MonitoringTutorialDataset_0897	False	0	0.99981	0.00019
MonitoringTutorialDataset_0408	True	1	7e-05	0.99993
MonitoringTutorialDataset_3266	True	1	0.0	1.0
MonitoringTutorialDataset_2092	False	1	1e-05	0.99999
MonitoringTutorialDataset_0256	True	1	0.05875	0.94125
MonitoringTutorialDataset_3543	True	1	0.00372	0.99628
MonitoringTutorialDataset_0761	False	0	0.99347	0.00653
MonitoringTutorialDataset_1538	False	0	0.99939	0.00061
MonitoringTutorialDataset_1322	False	0	0.99504	0.00496
MonitoringTutorialDataset_0843	True	1	0.00036	0.99964
MonitoringTutorialDataset_2283	True	1	0.00175	0.99825
MonitoringTutorialDataset_1786	True	1	0.0099	0.9901
MonitoringTutorialDataset_3669	True	1	0.00055	0.99945
MonitoringTutorialDataset_1370	False	0	0.97928	0.02072
MonitoringTutorialDataset_2353	True	1	0.0	1.0
MonitoringTutorialDataset_3038	True	1	0.0	1.0
MonitoringTutorialDataset_0291	True	1	0.00171	0.99829
MonitoringTutorialDataset_1657	False	0	0.95445	0.04555
MonitoringTutorialDataset_3791	True	1	1e-05	0.99999
MonitoringTutorialDataset_0134	True	1	0.0	1.0
MonitoringTutorialDataset_2792	True	1	0.0	1.0
MonitoringTutorialDataset_2404	False	1	1e-05	0.99999
MonitoringTutorialDataset_1157	True	1	0.00211	0.99789
MonitoringTutorialDataset_2034	True	1	0.0	1.0
MonitoringTutorialDataset_0263	False	0	0.99734	0.00266
MonitoringTutorialDataset_1992	False	0	0.9637	0.0363
MonitoringTutorialDataset_2466	False	0	0.99988	0.00012
MonitoringTutorialDataset_1295	True	1	7e-05	0.99993
MonitoringTutorialDataset_1964	False	0	0.982	0.018
MonitoringTutorialDataset_0817	False	1	0.00742	0.99258
MonitoringTutorialDataset_0056	False	0	0.73038	0.26962
MonitoringTutorialDataset_0831	False	0	0.92695	0.07305
MonitoringTutorialDataset_0693	False	1	1e-04	0.9999
MonitoringTutorialDataset_0551	True	1	0.00083	0.99917
MonitoringTutorialDataset_2441	True	1	1e-05	0.99999
MonitoringTutorialDataset_3287	True	1	0.45823	0.54177
MonitoringTutorialDataset_2138	True	1	0.0	1.0
MonitoringTutorialDataset_1721	False	1	0.00061	0.99939
MonitoringTutorialDataset_0810	False	0	0.9994	0.0006
MonitoringTutorialDataset_1749	True	1	0.0	1.0
MonitoringTutorialDataset_2484	False	0	0.98315	0.01685
MonitoringTutorialDataset_1798	True	1	1e-05	0.99999
MonitoringTutorialDataset_0393	True	1	1e-05	0.99999
MonitoringTutorialDataset_3253	True	1	1e-05	0.99999
MonitoringTutorialDataset_3591	False	0	0.99926	0.00074
MonitoringTutorialDataset_0170	False	0	0.99886	0.00114
MonitoringTutorialDataset_0642	True	1	0.0	1.0
MonitoringTutorialDataset_2229	True	1	1e-05	0.99999
MonitoringTutorialDataset_1091	True	1	0.00015	0.99985
MonitoringTutorialDataset_1615	True	1	0.0	1.0
MonitoringTutorialDataset_3323	True	1	0.0	1.0
MonitoringTutorialDataset_2533	False	1	0.0	1.0
MonitoringTutorialDataset_0188	True	0	0.98686	0.01314
MonitoringTutorialDataset_0012	False	0	0.89288	0.10712
MonitoringTutorialDataset_1200	True	1	0.00461	0.99539
MonitoringTutorialDataset_0322	True	1	0.0	1.0
MonitoringTutorialDataset_2958	False	0	0.99935	0.00065
MonitoringTutorialDataset_0605	False	1	6e-05	0.99994
MonitoringTutorialDataset_0803	True	1	0.0	1.0
MonitoringTutorialDataset_0751	False	1	0.00315	0.99685
MonitoringTutorialDataset_3599	True	1	1e-05	0.99999
MonitoringTutorialDataset_3402	True	1	0.0	1.0
MonitoringTutorialDataset_3133	True	1	0.0	1.0
MonitoringTutorialDataset_0676	True	1	0.0	1.0
MonitoringTutorialDataset_3220	False	0	0.99953	0.00047
MonitoringTutorialDataset_3393	False	0	0.642	0.358
MonitoringTutorialDataset_1689	False	0	0.96981	0.03019
MonitoringTutorialDataset_1880	False	1	0.00048	0.99952
MonitoringTutorialDataset_3208	True	1	3e-05	0.99997
MonitoringTutorialDataset_3213	True	1	0.0	1.0
MonitoringTutorialDataset_3026	True	1	0.0	1.0
MonitoringTutorialDataset_1512	True	1	0.0003	0.9997
MonitoringTutorialDataset_2184	False	1	0.29129	0.70871
MonitoringTutorialDataset_3256	False	1	0.00024	0.99976
MonitoringTutorialDataset_0238	False	0	0.50375	0.49625
MonitoringTutorialDataset_0174	True	1	1e-05	0.99999
MonitoringTutorialDataset_3159	True	1	0.0	1.0
MonitoringTutorialDataset_1811	True	1	0.04619	0.95381
MonitoringTutorialDataset_2620	True	1	1e-05	0.99999
MonitoringTutorialDataset_3684	False	0	0.99859	0.00141
MonitoringTutorialDataset_2225	True	1	0.00615	0.99385
MonitoringTutorialDataset_0907	True	1	0.00203	0.99797
MonitoringTutorialDataset_1426	True	1	0.0	1.0
MonitoringTutorialDataset_3088	True	1	0.36167	0.63833
MonitoringTutorialDataset_1991	False	1	0.00254	0.99746
MonitoringTutorialDataset_3437	False	0	0.65753	0.34247
MonitoringTutorialDataset_0410	True	1	1e-05	0.99999
MonitoringTutorialDataset_1186	True	1	0.0	1.0
MonitoringTutorialDataset_1029	False	1	0.00243	0.99757
MonitoringTutorialDataset_2335	True	1	0.0	1.0
MonitoringTutorialDataset_1652	True	1	6e-05	0.99994
MonitoringTutorialDataset_1583	False	0	0.5163	0.4837
MonitoringTutorialDataset_2246	False	0	0.9794	0.0206
MonitoringTutorialDataset_0990	True	1	0.0	1.0
MonitoringTutorialDataset_0227	True	1	3e-05	0.99997
MonitoringTutorialDataset_1830	True	1	1e-05	0.99999
MonitoringTutorialDataset_1210	False	0	0.6291	0.3709
