QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	pchembl_value_Mean_ProbabilityClass_0	pchembl_value_Mean_ProbabilityClass_1	Fold
MonitoringTutorialDataset_3922	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_1813	True	1	0.41565	0.58435	0.0
MonitoringTutorialDataset_0247	True	1	0.00462	0.99538	0.0
MonitoringTutorialDataset_2381	True	1	0.0135	0.9865	0.0
MonitoringTutorialDataset_2897	True	1	0.07543	0.92457	0.0
MonitoringTutorialDataset_1572	False	0	0.96894	0.03106	0.0
MonitoringTutorialDataset_1345	True	0	0.99031	0.00969	0.0
MonitoringTutorialDataset_0650	False	1	0.0	1.0	0.0
MonitoringTutorialDataset_1488	False	0	0.99748	0.00252	0.0
MonitoringTutorialDataset_3745	True	1	0.1647	0.8353	0.0
MonitoringTutorialDataset_1123	False	1	0.01538	0.98462	0.0
MonitoringTutorialDataset_3622	False	1	0.03158	0.96842	0.0
MonitoringTutorialDataset_2580	True	1	0.21895	0.78105	0.0
MonitoringTutorialDataset_1361	True	1	0.2271	0.7729	0.0
MonitoringTutorialDataset_0217	False	1	0.24346	0.75654	0.0
MonitoringTutorialDataset_0759	True	1	0.14358	0.85642	0.0
MonitoringTutorialDataset_1075	True	0	0.71958	0.28042	0.0
MonitoringTutorialDataset_3177	False	0	0.96596	0.03404	0.0
MonitoringTutorialDataset_2470	False	0	0.96236	0.03764	0.0
MonitoringTutorialDataset_2402	False	0	0.95323	0.04677	0.0
MonitoringTutorialDataset_4000	False	0	0.93968	0.06032	0.0
MonitoringTutorialDataset_4037	True	1	0.27822	0.72178	0.0
MonitoringTutorialDataset_2833	False	0	0.98505	0.01495	0.0
MonitoringTutorialDataset_0449	True	1	0.00295	0.99705	0.0
MonitoringTutorialDataset_1454	True	0	0.91735	0.08265	0.0
MonitoringTutorialDataset_2860	True	0	0.67916	0.32084	0.0
MonitoringTutorialDataset_3868	False	0	0.99757	0.00243	0.0
MonitoringTutorialDataset_1025	False	1	0.42297	0.57703	0.0
MonitoringTutorialDataset_0371	False	0	0.96938	0.03062	0.0
MonitoringTutorialDataset_2447	False	0	0.98855	0.01145	0.0
MonitoringTutorialDataset_1235	False	0	0.96987	0.03013	0.0
MonitoringTutorialDataset_0700	False	1	0.15022	0.84978	0.0
MonitoringTutorialDataset_1978	True	0	0.92973	0.07027	0.0
MonitoringTutorialDataset_0929	False	0	0.96349	0.03651	0.0
MonitoringTutorialDataset_1642	True	1	0.00102	0.99898	0.0
MonitoringTutorialDataset_1754	True	0	0.73008	0.26992	0.0
MonitoringTutorialDataset_3305	True	1	0.04746	0.95254	0.0
MonitoringTutorialDataset_0505	False	0	0.96075	0.03925	0.0
MonitoringTutorialDataset_0923	True	0	0.75742	0.24258	0.0
MonitoringTutorialDataset_2607	True	1	0.02079	0.97921	0.0
MonitoringTutorialDataset_3516	True	0	0.70343	0.29657	0.0
MonitoringTutorialDataset_1651	False	1	0.1154	0.8846	0.0
MonitoringTutorialDataset_0532	True	1	0.00692	0.99308	0.0
MonitoringTutorialDataset_2702	True	1	0.01212	0.98788	0.0
MonitoringTutorialDataset_3708	False	1	0.31281	0.68719	0.0
MonitoringTutorialDataset_2464	True	1	0.00106	0.99894	0.0
MonitoringTutorialDataset_2589	False	0	0.98701	0.01299	0.0
MonitoringTutorialDataset_2270	True	1	0.00016	0.99984	0.0
MonitoringTutorialDataset_3036	False	0	0.99451	0.00549	0.0
MonitoringTutorialDataset_2167	True	1	0.00155	0.99845	0.0
MonitoringTutorialDataset_2545	True	0	0.53754	0.46246	0.0
MonitoringTutorialDataset_0259	True	0	0.74151	0.25849	0.0
MonitoringTutorialDataset_2330	False	1	0.26801	0.73199	0.0
MonitoringTutorialDataset_1938	True	1	0.00975	0.99025	0.0
MonitoringTutorialDataset_1861	True	1	0.00259	0.99741	0.0
MonitoringTutorialDataset_0258	True	1	0.00059	0.99941	0.0
MonitoringTutorialDataset_0386	False	0	0.98108	0.01892	0.0
MonitoringTutorialDataset_2643	True	1	0.02377	0.97623	0.0
MonitoringTutorialDataset_2922	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_3969	True	1	0.00335	0.99665	0.0
MonitoringTutorialDataset_1788	False	1	0.00011	0.99989	0.0
MonitoringTutorialDataset_1553	False	0	0.98251	0.01749	0.0
MonitoringTutorialDataset_0507	True	1	0.03925	0.96075	0.0
MonitoringTutorialDataset_0007	False	0	0.79768	0.20232	0.0
MonitoringTutorialDataset_3467	True	0	0.80216	0.19784	0.0
MonitoringTutorialDataset_3692	True	0	0.58732	0.41268	0.0
MonitoringTutorialDataset_2836	False	0	0.5538	0.4462	0.0
MonitoringTutorialDataset_0678	True	1	0.01141	0.98859	0.0
MonitoringTutorialDataset_2240	False	1	0.00834	0.99166	0.0
MonitoringTutorialDataset_1011	False	1	0.05315	0.94685	0.0
MonitoringTutorialDataset_0065	False	0	0.94846	0.05154	0.0
MonitoringTutorialDataset_0679	True	1	0.17644	0.82356	0.0
MonitoringTutorialDataset_1918	False	0	0.68573	0.31427	0.0
MonitoringTutorialDataset_0781	True	1	0.03835	0.96165	0.0
MonitoringTutorialDataset_2749	False	1	0.1083	0.8917	0.0
MonitoringTutorialDataset_3700	True	1	0.40469	0.59531	0.0
MonitoringTutorialDataset_3292	True	0	0.51037	0.48963	0.0
MonitoringTutorialDataset_3792	False	0	0.95112	0.04888	0.0
MonitoringTutorialDataset_0883	False	0	0.98478	0.01522	0.0
MonitoringTutorialDataset_0382	True	0	0.93028	0.06972	0.0
MonitoringTutorialDataset_3439	True	1	3e-05	0.99997	0.0
MonitoringTutorialDataset_0031	True	1	0.00036	0.99964	0.0
MonitoringTutorialDataset_3963	True	1	0.00024	0.99976	0.0
MonitoringTutorialDataset_3185	True	1	0.12818	0.87182	0.0
MonitoringTutorialDataset_1717	True	0	0.94276	0.05724	0.0
MonitoringTutorialDataset_3102	True	1	0.00205	0.99795	0.0
MonitoringTutorialDataset_2547	True	1	0.41256	0.58744	0.0
MonitoringTutorialDataset_1237	False	0	0.78242	0.21758	0.0
MonitoringTutorialDataset_1117	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_0528	True	1	0.40899	0.59101	0.0
MonitoringTutorialDataset_0176	True	1	0.01856	0.98144	0.0
MonitoringTutorialDataset_0422	True	0	0.70003	0.29997	0.0
MonitoringTutorialDataset_2577	False	0	0.99985	0.00015	0.0
MonitoringTutorialDataset_3309	True	1	0.12892	0.87108	0.0
MonitoringTutorialDataset_2073	False	0	0.99006	0.00994	0.0
MonitoringTutorialDataset_0572	True	1	0.19326	0.80674	0.0
MonitoringTutorialDataset_0288	True	1	0.02306	0.97694	0.0
MonitoringTutorialDataset_3241	True	1	0.03599	0.96401	0.0
MonitoringTutorialDataset_1592	True	1	0.49364	0.50636	0.0
MonitoringTutorialDataset_2144	False	1	0.22575	0.77425	0.0
MonitoringTutorialDataset_1450	False	0	0.54455	0.45545	0.0
MonitoringTutorialDataset_2872	False	0	0.99278	0.00722	0.0
MonitoringTutorialDataset_1983	True	1	0.00113	0.99887	0.0
MonitoringTutorialDataset_2339	False	1	0.15185	0.84815	0.0
MonitoringTutorialDataset_0370	True	1	0.03095	0.96905	0.0
MonitoringTutorialDataset_1897	True	1	0.27923	0.72077	0.0
MonitoringTutorialDataset_2852	True	1	9e-05	0.99991	0.0
MonitoringTutorialDataset_0141	True	1	0.04201	0.95799	0.0
MonitoringTutorialDataset_3427	True	1	0.40803	0.59197	0.0
MonitoringTutorialDataset_0491	True	1	1e-05	0.99999	0.0
MonitoringTutorialDataset_3741	False	0	0.93358	0.06642	0.0
MonitoringTutorialDataset_3007	True	1	0.00711	0.99289	0.0
MonitoringTutorialDataset_1255	True	1	0.03105	0.96895	0.0
MonitoringTutorialDataset_1517	True	0	0.72014	0.27986	0.0
MonitoringTutorialDataset_0195	True	1	0.00014	0.99986	0.0
MonitoringTutorialDataset_2646	True	1	0.10266	0.89734	0.0
MonitoringTutorialDataset_3593	True	1	0.0024	0.9976	0.0
MonitoringTutorialDataset_0631	False	1	0.44107	0.55893	0.0
MonitoringTutorialDataset_0162	False	1	0.34667	0.65333	0.0
MonitoringTutorialDataset_2117	False	0	0.98586	0.01414	0.0
MonitoringTutorialDataset_2716	True	1	0.02827	0.97173	0.0
MonitoringTutorialDataset_0547	True	1	0.02197	0.97803	0.0
MonitoringTutorialDataset_3317	False	1	0.00473	0.99527	0.0
MonitoringTutorialDataset_2189	True	1	0.00191	0.99809	0.0
MonitoringTutorialDataset_3858	False	0	0.99872	0.00128	0.0
MonitoringTutorialDataset_3736	True	1	0.06001	0.93999	0.0
MonitoringTutorialDataset_3016	True	1	0.19288	0.80712	0.0
MonitoringTutorialDataset_0637	True	1	0.36231	0.63769	0.0
MonitoringTutorialDataset_2111	True	0	0.9597	0.0403	0.0
MonitoringTutorialDataset_3181	False	0	0.85697	0.14303	0.0
MonitoringTutorialDataset_1097	True	1	0.35843	0.64157	0.0
MonitoringTutorialDataset_1545	False	1	0.0636	0.9364	0.0
MonitoringTutorialDataset_0756	False	0	0.99036	0.00964	0.0
MonitoringTutorialDataset_2416	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_1764	True	1	0.00778	0.99222	0.0
MonitoringTutorialDataset_3041	True	0	0.80286	0.19714	0.0
MonitoringTutorialDataset_1226	True	1	0.34739	0.65261	0.0
MonitoringTutorialDataset_2025	True	1	0.28305	0.71695	0.0
MonitoringTutorialDataset_3687	False	0	0.99225	0.00775	0.0
MonitoringTutorialDataset_1391	False	1	0.18883	0.81117	0.0
MonitoringTutorialDataset_1070	False	0	0.80822	0.19178	0.0
MonitoringTutorialDataset_3756	True	1	0.00055	0.99945	0.0
MonitoringTutorialDataset_3277	False	0	0.99685	0.00315	0.0
MonitoringTutorialDataset_3678	True	1	0.02429	0.97571	0.0
MonitoringTutorialDataset_2663	False	1	0.00175	0.99825	0.0
MonitoringTutorialDataset_0867	False	0	0.98765	0.01235	0.0
MonitoringTutorialDataset_0997	True	1	0.03779	0.96221	0.0
MonitoringTutorialDataset_3083	False	0	0.99287	0.00713	0.0
MonitoringTutorialDataset_1132	False	0	0.97469	0.02531	0.0
MonitoringTutorialDataset_0059	False	1	0.13202	0.86798	0.0
MonitoringTutorialDataset_3573	False	0	0.52317	0.47683	0.0
MonitoringTutorialDataset_3481	False	1	0.20891	0.79109	0.0
MonitoringTutorialDataset_2147	True	1	0.07782	0.92218	0.0
MonitoringTutorialDataset_1268	False	1	0.37883	0.62117	0.0
MonitoringTutorialDataset_1078	False	0	0.94747	0.05253	0.0
MonitoringTutorialDataset_1557	False	0	0.99835	0.00165	0.0
MonitoringTutorialDataset_0582	True	0	0.75612	0.24388	0.0
MonitoringTutorialDataset_1972	True	1	0.05084	0.94916	0.0
MonitoringTutorialDataset_1344	True	1	0.00029	0.99971	0.0
MonitoringTutorialDataset_3435	False	1	0.00256	0.99744	0.0
MonitoringTutorialDataset_1885	False	1	0.00368	0.99632	0.0
MonitoringTutorialDataset_3757	True	1	0.06695	0.93305	0.0
MonitoringTutorialDataset_1556	False	0	0.97702	0.02298	0.0
MonitoringTutorialDataset_2325	True	1	0.00075	0.99925	0.0
MonitoringTutorialDataset_0226	True	0	0.97582	0.02418	0.0
MonitoringTutorialDataset_1738	True	1	0.00385	0.99615	0.0
MonitoringTutorialDataset_3281	True	1	0.08525	0.91475	0.0
MonitoringTutorialDataset_2891	True	1	0.0121	0.9879	0.0
MonitoringTutorialDataset_3726	True	1	0.0735	0.9265	0.0
MonitoringTutorialDataset_3404	False	0	0.79612	0.20388	0.0
MonitoringTutorialDataset_1037	True	1	0.35983	0.64017	0.0
MonitoringTutorialDataset_0565	True	0	0.94495	0.05505	0.0
MonitoringTutorialDataset_1313	False	0	0.9998	0.0002	0.0
MonitoringTutorialDataset_3286	False	1	0.00011	0.99989	0.0
MonitoringTutorialDataset_1467	True	0	0.95326	0.04674	0.0
MonitoringTutorialDataset_2399	True	0	0.56316	0.43684	0.0
MonitoringTutorialDataset_0472	True	1	0.00489	0.99511	0.0
MonitoringTutorialDataset_3465	False	0	0.61914	0.38086	0.0
MonitoringTutorialDataset_1924	True	0	0.9822	0.0178	0.0
MonitoringTutorialDataset_1793	False	1	0.03729	0.96271	0.0
MonitoringTutorialDataset_2475	True	0	0.7786	0.2214	0.0
MonitoringTutorialDataset_0135	False	0	0.95336	0.04664	0.0
MonitoringTutorialDataset_2519	True	1	0.10071	0.89929	0.0
MonitoringTutorialDataset_3504	True	1	0.0114	0.9886	0.0
MonitoringTutorialDataset_2477	False	0	0.98489	0.01511	0.0
MonitoringTutorialDataset_0859	False	0	0.99466	0.00534	0.0
MonitoringTutorialDataset_0533	False	0	0.99563	0.00437	0.0
MonitoringTutorialDataset_3315	True	0	0.98324	0.01676	0.0
MonitoringTutorialDataset_3740	True	1	0.04405	0.95595	0.0
MonitoringTutorialDataset_3831	True	1	4e-05	0.99996	0.0
MonitoringTutorialDataset_3806	True	1	8e-05	0.99992	0.0
MonitoringTutorialDataset_3888	False	0	0.98795	0.01205	0.0
MonitoringTutorialDataset_2069	False	0	0.65598	0.34402	0.0
MonitoringTutorialDataset_3989	False	0	0.95192	0.04808	0.0
MonitoringTutorialDataset_3085	True	1	0.44407	0.55593	0.0
MonitoringTutorialDataset_3610	True	1	0.03431	0.96569	0.0
MonitoringTutorialDataset_1456	True	1	0.0639	0.9361	0.0
MonitoringTutorialDataset_3129	False	0	0.96353	0.03647	0.0
MonitoringTutorialDataset_0272	True	1	0.0162	0.9838	0.0
MonitoringTutorialDataset_2768	False	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_0521	True	1	0.00282	0.99718	0.0
MonitoringTutorialDataset_0522	True	1	0.00171	0.99829	0.0
MonitoringTutorialDataset_1745	True	1	0.01494	0.98506	0.0
MonitoringTutorialDataset_2319	False	0	0.99954	0.00046	0.0
MonitoringTutorialDataset_1351	True	1	4e-05	0.99996	0.0
MonitoringTutorialDataset_2639	True	0	0.69505	0.30495	0.0
MonitoringTutorialDataset_0350	True	1	0.03296	0.96704	0.0
MonitoringTutorialDataset_3172	True	0	0.56817	0.43183	0.0
MonitoringTutorialDataset_1509	False	1	0.10246	0.89754	0.0
MonitoringTutorialDataset_3775	True	1	0.0287	0.9713	0.0
MonitoringTutorialDataset_2011	True	1	0.09014	0.90986	0.0
MonitoringTutorialDataset_0168	True	1	0.001	0.999	0.0
MonitoringTutorialDataset_3781	True	1	0.24345	0.75655	0.0
MonitoringTutorialDataset_0962	True	1	0.49921	0.50079	0.0
MonitoringTutorialDataset_0945	True	1	0.00252	0.99748	0.0
MonitoringTutorialDataset_0462	True	1	0.00384	0.99616	0.0
MonitoringTutorialDataset_3797	False	1	0.08745	0.91255	0.0
MonitoringTutorialDataset_2591	True	1	0.06389	0.93611	0.0
MonitoringTutorialDataset_3077	True	1	0.00375	0.99625	0.0
MonitoringTutorialDataset_1723	True	1	0.17307	0.82693	0.0
MonitoringTutorialDataset_2503	False	0	0.99668	0.00332	0.0
MonitoringTutorialDataset_0498	True	1	0.12972	0.87028	0.0
MonitoringTutorialDataset_0435	True	1	0.30161	0.69839	0.0
MonitoringTutorialDataset_1251	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_1425	True	1	0.02438	0.97562	0.0
MonitoringTutorialDataset_2285	True	1	0.0	1.0	0.0
MonitoringTutorialDataset_1866	True	1	0.05566	0.94434	0.0
MonitoringTutorialDataset_0407	True	0	0.67058	0.32942	0.0
MonitoringTutorialDataset_1407	True	1	0.02898	0.97102	0.0
MonitoringTutorialDataset_0844	False	0	0.99842	0.00158	0.0
MonitoringTutorialDataset_3925	False	0	0.99045	0.00955	0.0
MonitoringTutorialDataset_2083	True	1	0.04041	0.95959	0.0
MonitoringTutorialDataset_3569	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_1688	True	1	0.00239	0.99761	0.0
MonitoringTutorialDataset_0944	False	0	0.87571	0.12429	0.0
MonitoringTutorialDataset_3833	True	1	0.06775	0.93225	0.0
MonitoringTutorialDataset_3744	True	1	0.06751	0.93249	0.0
MonitoringTutorialDataset_1839	True	0	0.69775	0.30225	0.0
MonitoringTutorialDataset_0231	True	1	0.25928	0.74072	0.0
MonitoringTutorialDataset_1662	False	1	0.44569	0.55431	0.0
MonitoringTutorialDataset_1033	False	1	0.26762	0.73238	0.0
MonitoringTutorialDataset_2346	True	0	0.57818	0.42182	0.0
MonitoringTutorialDataset_2314	True	0	0.89867	0.10133	0.0
MonitoringTutorialDataset_1143	False	0	0.91383	0.08617	0.0
MonitoringTutorialDataset_0104	False	1	0.34743	0.65257	0.0
MonitoringTutorialDataset_2952	False	1	0.07125	0.92875	0.0
MonitoringTutorialDataset_2274	False	0	0.93565	0.06435	0.0
MonitoringTutorialDataset_2578	False	1	0.31294	0.68706	0.0
MonitoringTutorialDataset_1586	True	1	0.45843	0.54157	0.0
MonitoringTutorialDataset_3982	False	1	0.01921	0.98079	0.0
MonitoringTutorialDataset_1966	True	1	0.00306	0.99694	0.0
MonitoringTutorialDataset_2987	True	1	0.19275	0.80725	0.0
MonitoringTutorialDataset_2206	False	1	0.09118	0.90882	0.0
MonitoringTutorialDataset_2463	False	0	0.98811	0.01189	0.0
MonitoringTutorialDataset_3913	True	0	0.82155	0.17845	0.0
MonitoringTutorialDataset_3633	False	0	0.97419	0.02581	0.0
MonitoringTutorialDataset_0509	True	1	0.17776	0.82224	0.0
MonitoringTutorialDataset_0597	False	1	0.07251	0.92749	0.0
MonitoringTutorialDataset_1551	True	1	0.00113	0.99887	0.0
MonitoringTutorialDataset_0767	True	1	0.04227	0.95773	0.0
MonitoringTutorialDataset_0123	True	1	0.27707	0.72293	0.0
MonitoringTutorialDataset_3702	False	1	8e-05	0.99992	0.0
MonitoringTutorialDataset_1666	True	0	0.99694	0.00306	0.0
MonitoringTutorialDataset_0819	True	1	0.00043	0.99957	0.0
MonitoringTutorialDataset_1403	False	1	0.08692	0.91308	0.0
MonitoringTutorialDataset_1382	True	1	0.00117	0.99883	0.0
MonitoringTutorialDataset_0100	False	1	0.08152	0.91848	0.0
MonitoringTutorialDataset_3563	True	1	0.0225	0.9775	0.0
MonitoringTutorialDataset_1103	True	1	0.021	0.979	0.0
MonitoringTutorialDataset_3333	True	1	0.0889	0.9111	0.0
MonitoringTutorialDataset_3252	False	0	0.73483	0.26517	0.0
MonitoringTutorialDataset_1835	False	0	0.98401	0.01599	0.0
MonitoringTutorialDataset_0982	True	1	1e-05	0.99999	0.0
MonitoringTutorialDataset_2366	True	1	0.04834	0.95166	0.0
MonitoringTutorialDataset_2495	False	1	0.00284	0.99716	0.0
MonitoringTutorialDataset_1010	True	0	0.76308	0.23692	0.0
MonitoringTutorialDataset_4071	False	1	0.00032	0.99968	0.0
MonitoringTutorialDataset_3571	False	0	0.98949	0.01051	0.0
MonitoringTutorialDataset_1864	False	0	0.91601	0.08399	0.0
MonitoringTutorialDataset_2254	True	1	0.00019	0.99981	0.0
MonitoringTutorialDataset_0845	True	1	0.1274	0.8726	0.0
MonitoringTutorialDataset_1647	True	1	0.0723	0.9277	0.0
MonitoringTutorialDataset_1833	True	0	0.97038	0.02962	0.0
MonitoringTutorialDataset_1902	False	0	0.89934	0.10066	0.0
MonitoringTutorialDataset_2196	True	1	0.02197	0.97803	0.0
MonitoringTutorialDataset_0898	False	0	0.95339	0.04661	0.0
MonitoringTutorialDataset_1459	False	1	0.03545	0.96455	0.0
MonitoringTutorialDataset_1952	False	0	0.79385	0.20615	0.0
MonitoringTutorialDataset_0237	False	1	0.00114	0.99886	0.0
MonitoringTutorialDataset_1563	False	1	0.00502	0.99498	0.0
MonitoringTutorialDataset_1850	True	1	0.09122	0.90878	0.0
MonitoringTutorialDataset_2651	False	0	0.90417	0.09583	0.0
MonitoringTutorialDataset_2337	False	0	0.98042	0.01958	0.0
MonitoringTutorialDataset_0252	True	0	0.99809	0.00191	0.0
MonitoringTutorialDataset_2850	True	1	0.00293	0.99707	0.0
MonitoringTutorialDataset_2936	True	0	0.6109	0.38909	0.0
MonitoringTutorialDataset_1602	True	1	0.09001	0.90999	0.0
MonitoringTutorialDataset_0930	False	1	0.15384	0.84616	0.0
MonitoringTutorialDataset_3534	False	0	0.9886	0.0114	0.0
MonitoringTutorialDataset_1846	True	1	0.3441	0.6559	0.0
MonitoringTutorialDataset_3933	False	1	0.26059	0.73941	0.0
MonitoringTutorialDataset_1090	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_3903	False	1	0.07522	0.92478	0.0
MonitoringTutorialDataset_2015	False	0	0.84023	0.15977	0.0
MonitoringTutorialDataset_0041	False	1	0.02656	0.97344	0.0
MonitoringTutorialDataset_1691	False	0	0.6517	0.3483	0.0
MonitoringTutorialDataset_2440	False	1	0.28787	0.71213	0.0
MonitoringTutorialDataset_2019	True	0	0.81363	0.18637	0.0
MonitoringTutorialDataset_1339	True	1	0.28639	0.7136	0.0
MonitoringTutorialDataset_1674	True	1	0.00027	0.99973	0.0
MonitoringTutorialDataset_3143	True	0	0.79207	0.20793	0.0
MonitoringTutorialDataset_2943	True	0	0.8026	0.1974	0.0
MonitoringTutorialDataset_3131	True	1	0.00081	0.99919	0.0
MonitoringTutorialDataset_1948	False	1	0.20248	0.79752	0.0
MonitoringTutorialDataset_1601	True	0	0.92283	0.07717	0.0
MonitoringTutorialDataset_2400	True	1	0.00028	0.99972	0.0
MonitoringTutorialDataset_2602	True	1	0.03522	0.96478	0.0
MonitoringTutorialDataset_2887	True	0	0.97295	0.02705	0.0
MonitoringTutorialDataset_2067	True	1	0.19391	0.80609	0.0
MonitoringTutorialDataset_0783	False	0	0.99961	0.00039	0.0
MonitoringTutorialDataset_3496	False	1	0.23336	0.76664	0.0
MonitoringTutorialDataset_1941	False	0	0.98306	0.01694	0.0
MonitoringTutorialDataset_3730	True	1	0.00111	0.99889	0.0
MonitoringTutorialDataset_3374	False	0	0.97704	0.02296	0.0
MonitoringTutorialDataset_3837	True	1	0.00017	0.99983	0.0
MonitoringTutorialDataset_3235	True	1	0.00343	0.99657	0.0
MonitoringTutorialDataset_3295	True	1	0.24846	0.75154	0.0
MonitoringTutorialDataset_1127	True	1	0.00268	0.99732	0.0
MonitoringTutorialDataset_0626	True	0	0.88532	0.11468	0.0
MonitoringTutorialDataset_3034	False	1	0.00199	0.99801	0.0
MonitoringTutorialDataset_2641	False	0	0.50626	0.49374	0.0
MonitoringTutorialDataset_2840	False	1	0.001	0.999	0.0
MonitoringTutorialDataset_0911	True	1	0.17589	0.82411	0.0
MonitoringTutorialDataset_3344	False	0	0.99588	0.00412	0.0
MonitoringTutorialDataset_0445	True	1	0.0126	0.9874	0.0
MonitoringTutorialDataset_0617	True	1	2e-05	0.99998	0.0
MonitoringTutorialDataset_0286	True	1	0.00131	0.99869	0.0
MonitoringTutorialDataset_2682	True	1	0.01311	0.98689	0.0
MonitoringTutorialDataset_2622	True	1	0.02363	0.97637	0.0
MonitoringTutorialDataset_1465	False	0	0.99705	0.00295	0.0
MonitoringTutorialDataset_0353	True	1	0.35657	0.64343	0.0
MonitoringTutorialDataset_0613	False	0	0.99376	0.00624	0.0
MonitoringTutorialDataset_3902	True	1	0.22875	0.77125	0.0
MonitoringTutorialDataset_2720	True	1	0.00035	0.99965	0.0
MonitoringTutorialDataset_3789	True	1	0.01364	0.98636	0.0
MonitoringTutorialDataset_3834	True	1	0.00852	0.99148	0.0
MonitoringTutorialDataset_2216	False	1	0.28837	0.71163	0.0
MonitoringTutorialDataset_3379	True	1	0.38564	0.61436	0.0
MonitoringTutorialDataset_3993	False	1	0.03453	0.96547	0.0
MonitoringTutorialDataset_1253	True	0	0.67664	0.32336	0.0
MonitoringTutorialDataset_3400	False	0	0.9716	0.0284	0.0
MonitoringTutorialDataset_2107	False	0	0.99939	0.00061	0.0
MonitoringTutorialDataset_0424	True	1	0.00292	0.99708	0.0
MonitoringTutorialDataset_0647	True	1	1e-04	0.9999	0.0
MonitoringTutorialDataset_2227	False	1	0.09121	0.90879	0.0
MonitoringTutorialDataset_2396	False	0	0.98285	0.01715	0.0
MonitoringTutorialDataset_0620	True	1	0.00067	0.99933	0.0
MonitoringTutorialDataset_0553	False	1	0.06632	0.93368	0.0
MonitoringTutorialDataset_1554	False	0	0.99394	0.00606	0.0
MonitoringTutorialDataset_0998	False	1	0.30939	0.69061	0.0
MonitoringTutorialDataset_2685	True	1	6e-05	0.99994	0.0
MonitoringTutorialDataset_1397	False	1	0.28558	0.71442	0.0
